Method,Event_Grouping,Census_Division,CT,ME,MA,NH,RI,VT,NJ,NY,PA,IL,IN,MI,OH,WI,IA,KS,MN,MO,NE,ND,SD,DE,DC,FL,GA,MD,NC,SC,VA,WV,AL,KY,MS,TN,AR,LA,OK,TX,AZ,CO,ID,MT,NV,NM,UT,WY,CA,OR,WA,AK,HI
IEEE,All Events (With Major Event Days),2013,0.931,2.894,1.14,1.98,1.26,2.838,1.358,1.308,1,1.093,1.206,1.531,1.168,0.869,1.068,1.584,1.247,1.086,0.774,1.601,1.88,1.464,0.88,0.965,1.266,1.14,1.351,1.058,2.078,2.294,1.973,1.508,1.729,1.681,1.77,2.814,1.727,1.426,0.816,1.183,1.642,1.433,0.617,0.975,1.461,1.852,0.839,0.817,1.085,2.298,
IEEE,All Events (With Major Event Days),2014,0.777,5.123,0.969,1.969,0.762,2.521,0.953,1.15,1.282,1.124,1.258,1.23,1.197,0.835,1.224,1.354,1.016,1.079,0.69,1.797,1.048,1.414,0.69,1.134,1.53,1.284,1.512,1.853,1.59,2.366,2.04,1.664,2.042,1.779,1.841,2.987,1.117,1.494,0.844,0.974,1.266,1.188,0.702,0.812,1.373,1.565,0.914,1.346,1.673,2.259,
IEEE,All Events (With Major Event Days),2015,0.757,1.871,0.781,1.13,1.231,1.765,0.994,1.173,1.02,1.112,1.294,1.151,1.193,1.456,0.997,1.629,0.972,1.023,0.662,2.38,1.121,1.53,0.686,1.096,1.563,1.023,1.383,1.49,1.548,2.415,2.021,1.595,2.148,1.787,2.05,2.279,1.87,1.843,0.857,1.013,1.668,1.694,0.731,0.961,1.363,1.505,0.916,1.051,1.702,2.319,1.911
IEEE,All Events (With Major Event Days),2016,1.16,2.693,1.027,1.534,1.206,1.552,1.158,1.313,1.092,1.016,1.347,1.13,1.181,0.864,1.166,1.423,1.217,1.042,0.702,2.063,1.362,1.343,0.82,1.372,1.525,1.099,1.856,2.445,1.692,2.351,1.759,1.467,1.861,1.806,2.084,2.082,1.69,1.638,0.839,1.168,1.338,1.259,0.835,1.34,1.313,1.511,1.014,1.105,1.243,2.111,1.3
IEEE,All Events (With Major Event Days),2017,1.045,2.814,1.026,2.004,1.185,2.609,0.936,1.397,1.126,0.921,1.313,1.413,1.351,0.928,1.073,1.488,0.953,1.16,0.909,1.039,1.156,1.131,0.553,2.068,2.214,0.898,1.381,1.609,1.617,2.333,1.92,1.336,2.121,1.865,2.089,2.267,1.463,1.691,0.867,1.214,1.697,1.551,0.905,1.242,1.075,1.685,1.275,1.344,1.367,1.574,1.794
IEEE,All Events (With Major Event Days),2018,1.286,2.801,1.661,1.889,1.57,3.39,1.415,1.518,1.489,0.912,1.493,1.374,1.408,0.768,1.021,1.163,1.032,0.974,1.099,0.954,1.108,1.037,0.643,1.112,1.542,1.248,2.284,1.77,2.605,2.646,1.959,1.782,1.733,1.956,1.721,2.032,1.449,1.428,0.917,0.965,1.198,1.192,0.976,1.113,1.008,1.319,0.958,0.9,1.168,2.931,1.867
IEEE,All Events (With Major Event Days),2019,0.998,2.525,1.115,1.168,1.397,1.96,1.193,1.475,1.312,0.923,1.524,1.542,1.475,1.122,1.128,1.361,0.987,1.301,0.659,1.006,1.627,0.981,0.59,0.985,1.361,1.049,1.449,1.497,2.091,2.801,1.783,1.617,2.012,2.134,1.94,2.133,1.6,1.66,0.865,1.112,1.243,1.345,0.815,1.113,1.001,1.455,1.259,0.989,1.205,1.92,1.64
IEEE,All Events (With Major Event Days),2020,1.982,3.863,1.216,1.514,1.966,1.63,1.581,1.479,1.336,0.925,1.31,1.375,1.356,0.833,1.489,0.945,1.037,1.002,0.792,1.151,1.094,1.51,0.4,1.139,1.952,0.919,1.718,1.482,1.808,2.437,3.499,1.354,2.379,2.128,1.858,3.34,1.787,1.636,0.797,1.032,1.589,1.343,0.722,0.92,1.319,1.892,1.093,1.13,1.327,1.968,1.207
IEEE,All Events (With Major Event Days),2021,0.989,2.492,1.231,1.095,1.429,1.91,1.002,1.311,1.227,0.901,1.39,1.647,1.33,1.079,0.959,1.537,1.039,1.265,1.165,1.003,0.979,0.963,0.45,0.901,1.291,0.965,1.249,1.158,1.981,2.383,1.378,1.527,2.29,2.007,1.674,3.355,1.519,3.33,1.055,1.139,1.779,1.621,0.837,1.239,0.912,1.131,1.315,1.604,1.756,2.372,
IEEE,All Events (With Major Event Days),2022,0.905,3.001,1.093,1.417,0.959,2.44,0.876,1.466,1.163,0.756,1.427,1.34,1.518,1.101,0.978,1.321,1.207,1.057,0.59,1.425,1.204,0.853,0.302,1.463,1.668,1.16,1.97,1.87,2.541,2.737,2.28,1.707,2.168,3.326,2.16,1.992,1.452,1.704,1.024,1.041,1.168,1.398,0.984,1.089,0.858,1.286,1.259,1.311,1.52,4.959,
IEEE,All Events (With Major Event Days),2023,0.911,3.314,1.069,1.485,0.782,2.25,0.88,1.127,1.143,0.833,1.414,1.543,1.252,0.913,0.859,1.327,0.973,1.324,0.555,1.151,1.017,0.842,0.37,0.982,1.858,0.92,1.526,1.512,1.655,2.353,2.281,1.859,2.627,2.803,2.123,1.881,2.079,1.889,0.951,0.925,1.071,1.052,0.942,1.102,0.912,0.935,1.409,0.808,1.05,3.26,3.922
IEEE,Without Major Event Days,2013,0.917,1.976,0.911,1.057,0.72,1.914,1.228,0.949,0.936,0.86,0.962,0.913,0.945,0.715,0.946,1.25,0.875,0.813,0.661,1.568,1.037,1.283,0.88,0.933,1.137,1.044,1.024,0.989,1.636,1.709,1.666,1.309,1.386,1.572,1.579,1.247,1.222,1.253,0.762,1.094,1.395,1.274,0.58,0.897,1.313,1.574,0.8,0.661,0.846,1.432,
IEEE,Without Major Event Days,2014,0.777,2.041,0.836,1.363,0.762,1.388,0.867,0.96,0.952,0.95,1.047,0.898,1.107,0.673,0.993,1.207,0.924,0.968,0.603,1.725,0.964,1.176,0.64,1.105,1.179,1.01,1.015,1.132,1.445,2.132,1.675,1.347,1.371,1.504,1.585,1.481,1.085,1.21,0.717,0.956,1.148,1.128,0.632,0.795,1.211,1.496,0.873,0.88,0.912,1.57,
IEEE,Without Major Event Days,2015,0.699,1.818,0.745,1.095,0.937,1.765,0.833,1.135,0.909,0.937,1.041,0.979,1.128,1.174,0.963,1.306,0.828,0.932,0.572,2.319,0.939,1.298,0.686,1.041,1.279,0.972,1.142,1.18,1.449,2.15,1.625,1.334,1.809,1.504,1.779,1.811,1.282,1.338,0.776,0.92,1.418,1.446,0.557,0.905,1.223,1.444,0.816,0.711,0.842,1.531,1.454
IEEE,Without Major Event Days,2016,0.993,2.166,0.91,1.36,0.973,1.552,0.981,1.19,0.973,0.83,1.064,1.004,1.058,0.668,0.99,1.238,0.861,0.776,0.578,1.932,0.998,1.147,0.82,1.051,1.34,1.023,1.149,1.226,1.509,2.104,1.541,1.273,1.634,1.571,1.717,1.745,1.296,1.295,0.756,0.935,1.16,1.136,0.735,1.016,0.972,1.356,0.923,0.778,0.83,1.858,1.002
IEEE,Without Major Event Days,2017,0.759,1.93,0.254,1.146,0.775,1.632,0.876,1.02,0.935,0.749,1.045,0.984,1.134,0.583,0.968,1.145,0.77,0.782,0.677,0.943,1.064,0.994,0.553,1,1.189,0.816,1.162,1.125,1.443,2.057,1.403,1.094,1.486,1.473,1.48,1.715,1.184,1.3,0.562,0.899,1.615,1.361,0.811,1.061,0.957,1.615,0.884,0.859,0.925,1.826,1.295
IEEE,Without Major Event Days,2018,0.731,2.038,0.853,1.082,1.001,2.34,0.962,1.056,1.044,0.777,1.153,1.054,1.174,0.649,0.933,0.986,0.889,0.831,0.73,0.874,0.928,0.859,0.538,0.953,1.248,0.939,1.168,1.238,1.744,2.352,1.488,1.269,1.604,1.704,1.473,1.819,1.202,1.24,0.582,0.915,1.094,1.182,0.813,1.098,1.005,1.19,0.857,0.795,0.817,2.603,1.688
IEEE,Without Major Event Days,2019,0.658,1.679,0.77,0.765,1.024,1.49,0.942,1.044,1.029,0.762,1.171,1.162,1.136,0.723,0.936,1.028,0.793,1.019,0.549,0.832,1.101,0.864,0.49,0.906,1.222,0.864,1.114,1.006,1.7,2.352,1.097,1.389,1.587,1.783,1.522,1.612,1.338,1.281,0.748,0.882,1.144,1.237,0.773,1.028,0.935,1.37,0.872,0.747,0.783,1.588,1.192
IEEE,Without Major Event Days,2020,0.691,2.117,0.802,0.913,0.945,1.63,0.939,1.077,0.939,0.653,1.005,1.069,1.073,0.71,0.864,0.89,0.895,0.862,0.552,1,0.896,0.951,0.37,0.893,1.328,0.77,1.21,1.129,1.608,2.163,1.372,1.102,1.407,1.539,1.437,1.625,1.199,1.223,0.742,0.873,1.211,1.055,0.582,0.865,0.87,1.089,0.883,0.749,0.91,2.218,1.112
IEEE,Without Major Event Days,2021,0.69,2.072,0.889,0.858,0.948,1.91,0.886,1.109,0.967,0.704,1.077,1.017,1.12,0.695,0.812,1.064,0.867,0.834,0.516,0.956,0.679,0.963,0.41,0.796,1.241,0.79,1.065,1.027,1.565,2.096,1.161,1.132,1.494,1.69,1.401,1.781,1.272,1.382,0.813,0.915,1.235,1.348,0.669,1.04,0.857,0.959,1.042,0.758,1.035,1.723,
IEEE,Without Major Event Days,2022,0.673,1.956,0.897,0.7,0.808,1.95,0.838,1.162,0.975,0.643,1.136,1.016,1.122,0.763,0.837,1.087,0.846,0.879,0.534,1.065,0.793,0.767,0.277,0.833,1.291,0.84,1.238,1.154,1.838,2.225,1.973,1.278,1.729,1.988,1.803,1.859,1.264,1.399,0.871,0.923,1.091,1.214,0.722,0.963,0.82,1.146,1.146,0.804,0.99,3.406,
IEEE,Without Major Event Days,2023,0.681,1.979,0.79,0.766,0.667,1.38,0.83,0.963,0.914,0.604,0.944,0.931,0.918,0.633,0.645,1.004,0.778,0.878,0.478,0.942,0.894,0.701,0.318,0.78,1.336,0.704,1.282,1.289,1.522,1.871,1.481,1.129,2.113,1.891,1.578,1.501,1.134,1.39,0.788,0.873,0.985,1.052,0.745,0.908,0.866,0.825,1.097,0.738,0.915,2.366,
IEEE,Loss of Supply Removed,2013,0.915,2.611,1.135,1.057,1.17,2.838,1.182,1.317,0.903,1.09,0.925,1.504,1.017,0.837,0.918,1.314,1.176,1.123,0.077,0.855,1.44,1.376,0.76,0.936,0.774,1.002,1.255,0.99,1.905,1.731,1.735,1.256,1.55,1.524,1.792,1.468,1.416,1.397,0.708,1.004,1.376,1.375,1,0.797,1.237,1.522,0.847,0.677,0.913,2.323,
IEEE,Loss of Supply Removed,2014,0.777,5.101,0.954,1.816,0.76,2.331,0.914,1.15,1.143,1.105,1.107,1.199,1.006,0.812,1.06,1.217,0.957,1.08,0.569,0.957,0.698,1.331,0.69,1.5,1.29,1.219,1.302,1.623,1.38,2.089,1.97,1.368,1.761,1.668,2.177,1.596,0.94,1.466,0.788,0.943,1.116,1.104,,0.261,1.139,1.297,0.94,1.061,1.502,2.722,
IEEE,Loss of Supply Removed,2015,0.748,1.677,0.782,1.054,1.231,1.531,0.953,1.137,0.909,1.072,1.142,1.119,1.021,0.752,0.849,1.39,0.903,1.276,0.523,0.713,0.87,1.369,0.686,1.014,1.4,0.98,1.227,1.19,1.418,2.197,1.842,1.311,1.928,1.738,1.853,2.02,1.582,1.733,0.789,0.938,1.455,1.574,1.751,0.389,1.421,1.258,0.933,1.026,1.342,2.55,
IEEE,Loss of Supply Removed,2016,1.15,2.369,0.876,1.49,1.046,1.372,1.083,1.235,1.011,0.999,1.16,1.105,0.989,0.826,0.897,1.281,1.096,0.963,0.648,1.046,0.88,1.303,0.82,1.278,1.241,1.055,1.759,2.175,1.349,2.052,1.492,1.216,1.918,1.707,1.867,1.913,1.352,1.547,0.781,1.008,1.231,0.944,1.36,0.928,1.357,1.445,1.022,1.029,1.098,2.444,1.049
IEEE,Loss of Supply Removed,2017,1.035,2.632,0.988,1.982,1.103,2.491,0.881,1.412,0.998,0.9,1.136,1.388,1.149,0.886,0.851,1.248,0.877,1.303,0.672,0.675,0.9,1.09,0.55,1.993,2.064,0.862,1.209,1.467,1.51,2.027,1.754,1.148,2.319,1.753,1.859,2.032,1.184,1.531,0.81,1.028,1.574,1.528,1.033,0.876,1.079,1.542,0.771,1.302,1.229,1.548,1.657
IEEE,Loss of Supply Removed,2018,1.256,2.598,1.612,1.871,1.394,2.86,1.287,1.532,1.35,0.887,1.232,1.346,1.16,0.737,0.851,1.007,0.907,1.108,0.651,0.693,0.696,0.98,0.643,1.095,1.423,1.229,2.041,1.496,2.447,2.355,1.744,1.56,1.87,1.896,1.613,1.849,1.218,1.348,0.823,0.873,1.096,0.802,1.443,0.899,1.022,1.148,0.504,0.842,0.989,2.345,1.549
IEEE,Loss of Supply Removed,2019,0.994,2.292,1.089,1.168,1.247,1.9,1.081,1.487,1.187,0.906,1.248,1.505,1.224,1.051,0.961,1.342,0.878,1.557,0.655,0.785,1.114,0.981,0.59,0.919,1.235,1.018,1.278,1.285,1.943,2.486,1.528,1.425,2.154,2.065,1.676,1.986,1.271,1.549,0.782,1.028,0.961,1.022,0.88,0.934,1.014,1.419,0.869,0.919,1.066,1.578,1.387
IEEE,Loss of Supply Removed,2020,1.962,3.75,1.159,1.504,1.442,1.56,1.438,1.497,1.215,0.903,1.011,1.339,1.168,0.774,1.341,0.91,0.962,0.969,0.917,0.814,0.745,1.5,0.4,1.058,1.746,0.882,1.525,1.227,1.695,2.113,3.364,1.225,2.374,2.005,1.669,3.124,1.428,1.543,0.75,0.957,1.173,1.143,0.558,0.86,1.316,1.703,0.443,1.075,1.138,1.501,0.975
IEEE,Loss of Supply Removed,2021,0.976,2.223,1.108,0.954,1.394,1.75,0.868,1.31,1.11,0.876,1.141,1.615,1.099,1.059,0.78,1.346,0.94,1.147,1.144,0.643,0.69,0.953,0.45,0.859,1.149,0.945,1.152,0.951,1.883,2.106,1.58,1.322,2.468,1.824,1.434,3.093,1.163,3.525,0.988,1.005,1.222,1.133,0.061,1.074,0.922,1.102,0.8,1.473,1.45,1.778,
IEEE,Loss of Supply Removed,2022,0.897,2.786,0.997,1.383,0.932,2.26,0.776,1.489,1.059,0.745,1.229,1.326,1.204,1.053,0.76,1.143,1.101,0.985,0.573,1.126,0.89,0.864,0.302,1.408,1.544,1.055,1.788,1.571,2.444,2.251,2.151,1.525,2.254,3.073,1.886,1.855,1.169,1.656,0.979,0.97,0.815,1.059,1.953,1,0.857,1.244,1.221,1.215,1.24,3.431,
IEEE,Loss of Supply Removed,2023,0.876,3.015,1.025,1.48,0.736,2.04,0.783,1.14,1.025,0.819,1.292,1.533,1.075,0.881,0.741,1.171,0.859,1.263,0.545,0.843,0.691,0.858,0.37,0.929,1.765,0.882,1.399,1.197,1.561,2.1,1.972,1.657,2.932,2.773,1.909,1.759,1.713,1.777,0.916,0.85,0.757,0.852,1.131,0.966,0.919,0.915,1.393,0.753,0.725,2.503,
Any Method,All Events (With Major Event Days),2013,0.931,2.894,1.129,2.173,1.26,2.41,1.333,0.723,0.974,1.1,1.18,1.523,1.176,0.816,0.96,1.571,1.215,1.134,0.838,2.757,1.867,1.46,0.88,1.126,1.327,1.123,1.341,1.045,1.615,2.294,1.447,1.502,1.708,1.767,1.796,2.54,1.547,1.537,0.824,1.087,1.644,1.363,0.617,1.04,1.352,1.814,0.833,0.792,1.025,2.302,2.13
Any Method,All Events (With Major Event Days),2014,0.742,5.123,0.956,2.264,0.762,2.195,0.953,0.635,1.218,1.126,1.28,1.213,1.209,0.838,1.201,1.348,0.995,1.078,0.869,1.419,1.009,1.415,0.69,1.148,1.508,1.265,1.471,1.816,1.381,2.366,1.476,1.65,1.714,1.803,1.793,2.387,1.075,1.441,0.84,0.927,1.287,1.134,0.702,0.846,1.356,1.501,0.911,1.271,1.513,2.484,2.307
Any Method,All Events (With Major Event Days),2015,0.7,1.871,0.787,1.384,1.231,1.67,0.991,0.671,0.994,1.111,1.263,1.141,1.205,1.319,0.964,1.629,0.969,1.058,0.732,2.074,1.133,1.522,0.686,1.091,1.539,1.089,1.336,1.454,1.429,2.415,1.699,1.588,1.969,1.769,1.982,2.266,1.782,1.781,0.857,1.011,1.744,1.752,0.731,1.13,1.35,1.486,0.925,1.006,1.701,2.555,2.986
Any Method,All Events (With Major Event Days),2016,1.063,2.693,0.991,1.537,1.206,1.862,1.154,0.783,1.067,1.023,1.336,1.146,1.184,0.841,1.049,1.408,1.193,1.05,0.675,1.614,1.4,1.35,0.82,1.357,1.526,1.092,1.79,2.417,1.545,2.351,1.571,1.457,1.927,1.78,2.033,2.118,1.582,1.599,0.833,1.155,1.351,1.262,0.835,1.452,1.31,1.488,1.027,1.091,1.172,2.261,1.897
Any Method,All Events (With Major Event Days),2017,0.947,2.814,1.087,2.297,1.185,2.413,0.934,0.844,1.109,0.926,1.27,1.414,1.354,0.909,1.002,1.481,0.946,1.201,0.879,0.966,1.152,1.128,0.553,2.017,2.449,0.97,1.334,1.585,1.375,2.333,1.959,1.347,2.196,1.806,2.046,2.289,1.445,1.667,0.885,1.193,1.693,1.575,0.905,1.297,1.065,1.662,1.284,1.318,1.321,1.709,2.092
Any Method,All Events (With Major Event Days),2018,1.255,2.801,1.552,2.173,1.57,2.619,1.421,1.005,1.431,0.916,1.457,1.373,1.411,0.811,1.015,1.168,1.016,0.973,1.085,0.914,1.084,1.032,0.643,1.129,1.557,1.296,2.168,1.746,1.817,2.646,1.522,1.785,1.762,1.901,1.771,2.096,1.331,1.389,0.943,0.973,1.198,1.278,0.976,1.146,1.019,1.269,0.955,0.916,1.211,3.137,1.959
Any Method,All Events (With Major Event Days),2019,0.971,2.525,1.224,1.429,1.397,1.981,1.19,0.876,1.309,0.926,1.503,1.535,1.474,1.095,1.08,1.368,0.994,1.297,0.654,0.87,1.576,0.976,0.59,1.012,1.382,1.049,1.437,1.483,1.727,2.801,1.41,1.61,2.096,2.151,1.934,2.166,1.53,1.672,0.886,1.079,1.243,1.327,0.815,1.213,0.998,1.49,1.261,0.996,1.174,2.192,2.05
Any Method,All Events (With Major Event Days),2020,1.827,3.863,1.302,1.821,1.966,1.898,1.583,0.975,1.297,0.924,1.289,1.384,1.356,0.802,1.487,0.945,1.036,0.997,0.79,0.972,1.096,1.51,0.4,1.171,1.964,0.956,1.697,1.475,1.633,2.437,2.381,1.351,2.513,2.14,1.833,3.228,2.111,2.222,0.818,0.998,1.589,1.364,0.722,1.01,1.32,1.836,1.077,1.142,1.302,2.195,1.217
Any Method,All Events (With Major Event Days),2021,0.895,2.492,1.217,1.368,1.429,2.074,1,0.854,1.2,0.907,1.358,1.656,1.326,1.011,0.923,1.534,1.041,1.244,1.154,0.879,1.009,0.963,0.45,0.929,1.317,0.962,1.242,1.161,1.576,2.383,1.43,1.529,2.367,2.019,1.658,3.295,1.4,2.9,1.22,1.103,1.779,1.706,0.837,1.446,0.934,1.163,1.309,1.571,1.692,2.132,1.6
Any Method,All Events (With Major Event Days),2022,0.821,3.001,1.08,1.783,0.959,2.62,0.875,0.872,1.139,0.761,1.431,1.339,1.517,1.043,0.888,1.321,1.21,1.05,0.608,1.297,1.235,0.853,0.302,1.48,1.695,1.156,1.927,1.87,1.853,2.737,1.448,1.781,2.429,3.196,2.11,2.077,1.442,1.654,1.053,1.031,1.168,1.376,0.984,1.166,0.887,1.332,1.248,1.288,1.481,3.523,1.647
Any Method,All Events (With Major Event Days),2023,0.872,3.314,1.057,1.753,0.782,2.352,0.881,0.725,1.108,0.835,1.447,1.512,1.252,0.877,0.907,1.318,0.973,1.315,0.558,1.055,1.011,0.83,0.37,1.015,1.885,0.92,1.506,1.507,1.461,2.353,1.574,1.903,2.717,2.812,2.102,2.124,1.862,1.763,0.984,0.915,1.071,1.068,0.942,1.242,0.916,0.994,1.397,0.825,1.025,2.701,1.788
Any Method,Without Major Event Days,2013,0.904,1.976,0.906,1.301,0.72,1.865,1.204,0.57,0.902,0.866,0.944,0.915,0.952,0.695,0.844,1.248,0.859,0.859,0.577,3.405,1.054,1.28,0.88,1.017,1.152,1.036,1.014,0.982,1.171,1.709,1.22,1.305,1.316,1.526,1.567,1.449,1.007,1.241,0.762,0.996,1.395,1.274,0.58,0.924,1.289,1.574,0.798,0.663,0.786,1.432,1.605
Any Method,Without Major Event Days,2014,0.742,2.041,0.83,1.582,0.762,1.492,0.868,0.552,0.919,0.954,1.049,0.893,1.113,0.693,0.992,1.21,0.901,0.975,0.699,1.725,0.949,1.179,0.64,1.136,1.169,1.008,1.009,1.122,1.229,2.132,1.139,1.342,1.238,1.552,1.551,1.533,1.027,1.187,0.717,0.909,1.156,1.128,0.632,0.825,1.193,1.496,0.873,0.869,0.947,1.57,1.845
Any Method,Without Major Event Days,2015,0.647,1.818,0.746,1.353,0.937,1.748,0.833,0.64,0.891,0.94,1.022,0.967,1.141,1.099,0.924,1.312,0.813,0.951,0.553,2.319,0.926,1.292,0.686,1.06,1.265,1.044,1.117,1.166,1.245,2.15,1.244,1.332,1.579,1.49,1.752,1.805,1.174,1.308,0.776,0.911,1.424,1.446,0.557,1.033,1.219,1.444,0.833,0.717,0.826,1.531,1.711
Any Method,Without Major Event Days,2016,0.906,2.166,0.923,1.382,0.973,1.8,0.98,0.694,0.96,0.831,1.048,1.012,1.065,0.686,0.937,1.231,0.855,0.799,0.556,1.852,0.99,1.156,0.82,1.073,1.342,1.022,1.138,1.228,1.346,2.104,1.167,1.261,1.712,1.566,1.677,1.773,1.253,1.27,0.751,0.924,1.179,1.136,0.735,1.117,0.964,1.356,0.938,0.776,0.782,1.858,1.444
Any Method,Without Major Event Days,2017,0.682,1.93,0.577,1.295,0.775,1.889,0.875,0.62,0.938,0.754,1.01,0.989,1.137,0.625,0.907,1.145,0.775,0.823,0.676,0.897,1.049,0.992,0.553,1.04,1.199,0.863,1.137,1.115,1.176,2.057,1.07,1.096,1.571,1.469,1.455,1.727,1.151,1.283,0.575,0.875,1.615,1.361,0.811,1.094,0.945,1.615,0.894,0.867,0.946,1.826,1.295
Any Method,Without Major Event Days,2018,0.705,2.038,0.918,1.268,1.001,1.908,0.964,0.648,1.022,0.779,1.133,1.055,1.178,0.702,0.938,0.988,0.885,0.841,0.707,0.888,0.915,0.856,0.538,0.972,1.257,0.965,1.147,1.224,1.389,2.352,1.174,1.27,1.633,1.689,1.483,1.84,1.134,1.089,0.611,0.897,1.094,1.183,0.813,1.118,1.017,1.19,0.854,0.804,0.827,2.603,1.688
Any Method,Without Major Event Days,2019,0.621,1.679,0.842,0.919,1.024,1.465,0.942,0.635,1.025,0.763,1.17,1.162,1.136,0.755,0.947,1.034,0.805,1.018,0.547,0.819,1.094,0.86,0.49,0.939,1.241,0.879,1.109,1.004,1.342,2.352,1.1,1.383,1.607,1.794,1.508,1.648,1.149,1.118,0.775,0.858,1.144,1.243,0.773,1.098,0.941,1.285,0.876,0.745,0.779,1.588,1.192
Any Method,Without Major Event Days,2020,0.659,2.117,1.01,1.085,0.945,1.926,0.938,0.683,0.928,0.654,0.996,1.082,1.073,0.703,0.849,0.886,0.901,0.851,0.556,0.953,0.896,0.951,0.37,0.952,1.36,0.805,1.206,1.124,1.323,2.163,1.13,1.1,1.487,1.573,1.434,1.721,1.101,1.486,0.767,0.847,1.211,1.057,0.582,0.933,0.882,1.024,0.879,0.753,0.906,2.218,1.112
Any Method,Without Major Event Days,2021,0.639,2.072,0.88,1.078,0.948,2.058,0.885,0.686,0.963,0.702,1.06,1.033,1.121,0.692,0.805,1.059,0.876,0.828,0.511,0.968,0.679,0.963,0.41,0.834,1.268,0.79,1.066,1.031,1.254,2.096,1.08,1.131,1.556,1.706,1.383,1.848,1.244,1.201,0.973,0.892,1.235,1.341,0.669,1.218,0.873,0.897,1.033,0.764,1.024,1.723,1.199
Any Method,Without Major Event Days,2022,0.621,1.956,0.885,0.931,0.808,1.967,0.838,0.666,0.968,0.645,1.123,1.015,1.121,0.751,0.809,1.086,0.856,0.876,0.541,1.036,0.793,0.767,0.277,0.866,1.316,0.84,1.236,1.156,1.343,2.225,1.159,1.3,1.967,1.949,1.77,1.931,1.266,1.203,0.897,0.917,1.091,1.203,0.722,1.005,0.854,1.074,1.127,0.813,0.991,3.406,1.195
Any Method,Without Major Event Days,2023,0.655,1.979,0.78,0.989,0.667,1.58,0.831,0.586,0.878,0.605,0.946,0.921,0.918,0.631,0.709,0.998,0.785,0.876,0.48,0.907,0.894,0.692,0.318,0.823,1.357,0.703,1.274,1.291,1.283,1.871,0.979,1.167,2.142,1.898,1.54,1.641,1.143,1.175,0.817,0.865,0.985,1.055,0.745,0.997,0.879,0.77,1.086,0.751,0.908,2.366,1.398
